WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
1998-01-24,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
1999-01-16,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
1999-09-25,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2004-08-07,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,,Political violence,1535.0,0.7197,36.0185
2005-04-02,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2007-07-21,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2007-10-13,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,,Political violence,1535.0,0.7197,36.0185
2007-11-17,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,0,,Political violence,1535.0,0.7197,36.0185
2007-12-22,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,9,,Political violence,1535.0,0.7197,36.0185
2008-03-15,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,17,,Political violence,1535.0,0.7197,36.0185
2011-12-31,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2012-02-11,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,,Political violence,1535.0,0.7197,36.0185
2013-01-05,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,10,,Political violence,1535.0,0.7197,36.0185
2013-02-02,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,4,,Political violence,1535.0,0.7197,36.0185
2014-03-01,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,,Political violence,1535.0,0.7197,36.0185
2014-03-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,3,,Political violence,1535.0,0.7197,36.0185
2014-10-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,5,,Political violence,1535.0,0.7197,36.0185
2014-10-25,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,7,,Political violence,1535.0,0.7197,36.0185
2014-11-01,Eastern Africa,Kenya,Baringo,Battles,Armed clash,2,30,,Political violence,1535.0,0.7197,36.0185
2014-12-13,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2015-01-03,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,,Political violence,1535.0,0.7197,36.0185
2015-02-21,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,,Political violence,1535.0,0.7197,36.0185
2015-05-02,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,36,,Political violence,1535.0,0.7197,36.0185
2017-02-25,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,8,,Political violence,1535.0,0.7197,36.0185
2017-03-11,Eastern Africa,Kenya,Baringo,Battles,Armed clash,3,4,,Political violence,1535.0,0.7197,36.0185
2017-03-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2017-03-25,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2017-04-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,7,,Political violence,1535.0,0.7197,36.0185
2017-05-06,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,,Political violence,1535.0,0.7197,36.0185
2017-06-10,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2017-06-17,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,,Political violence,1535.0,0.7197,36.0185
2017-07-08,Eastern Africa,Kenya,Baringo,Battles,Armed clash,3,7,,Political violence,1535.0,0.7197,36.0185
2018-04-21,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,,Political violence,1535.0,0.7197,36.0185
2018-05-12,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,2,,Political violence,1535.0,0.7197,36.0185
2018-09-15,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2019-02-16,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,5,,Political violence,1535.0,0.7197,36.0185
2020-02-15,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,3,,Political violence,1535.0,0.7197,36.0185
2020-04-18,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2020-05-09,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,678.0,Political violence,1535.0,0.7197,36.0185
2020-12-26,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,1816.0,Political violence,1535.0,0.7197,36.0185
2021-01-16,Eastern Africa,Kenya,Baringo,Battles,Armed clash,4,8,21544.0,Political violence,1535.0,0.7197,36.0185
2021-04-03,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
2021-04-10,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,1,1162.0,Political violence,1535.0,0.7197,36.0185
2021-07-31,Eastern Africa,Kenya,Baringo,Battles,Armed clash,1,0,,Political violence,1535.0,0.7197,36.0185
